Linear_Setpoint,Linear_Velocity,Robot_Pixel,Robot_Pixel_Setpoint,Angular_Velocity
0.22,0.21706199999999998,316,320,0.00902256
0.22,0.196904,308,320,0.0781955
0.22,0.210959,322,320,-0.0285714
0.22,0.197103,309,320,0.0774436
0.22,0.200962,327,320,-0.0631579
0.22,0.20411600000000002,325,320,-0.0518797
0.22,0.195132,308,320,0.0849624
0.22,0.21303200000000005,322,320,-0.021804499999999997
0.22,0.196113,329,320,-0.081203
0.22,0.194354,329,320,-0.08796989999999999
0.22,0.196706,308,320,0.07894739999999999
0.22,0.218277,318,320,0.00526316
0.22,0.189815,306,320,0.10601500000000001
0.22,0.202211,313,320,0.0586466
0.22,0.2128,318,320,0.0225564
0.22,0.185307,336,320,-0.12481199999999999
